,Sugar,Ginger,Milk 3 Fat,TEA POWDER,Green Elaichi,Eggs,Maida,Salt Tata,Refind Oil,Atta,Clams,Mango Pulp,Curd Mother Dairy,Onion,Cucumber,Green Chilly,Beetroots,Jeera Powder,Potato,Cauliflower,Peel Garlic,Garam Masala,Ghee Nandani,Haldi Powder,Kasuri Methi,Kitchen King,Coriander Leaves,Rai,BASMATI RICE,Amul Cream,Chat Masala,Jeera Whole,Methi (w),Coconut Milk Powder,Lemon,Boondi,Jal Jeera,Kokum,Banana Leaf,Coconut Big,Dhaniya Whole,Bedki Chilli Dry,Chicken Breast Bonless,Capsicum,Badi Sunf,Dry Ginger,Kashmiri Chilli,Cinnamon (dalchini),Carrots,GREEN PEAS,FRESH BEANS,Malai Paneer,Laung,Javantry,Star Fool,Tej Patta,Kaju Tukda,Rose Water,Kewra Water,Basmati Rice,Mint Leaves,Chicken Masala,Sesame Oil,Soya Sauce LLK,Aromatic Powder,Veg Oyester Sauce,Chicken Leg Bonless,Coconut Oil,Strawberry Ice Cream,Besan,Broccoli,Asparagus,Baby Corn,Corn Flour,Green Zucchini,Tomato Ketchup,Bell Pepper Red,Water Chestnuts,Bell Papper Yellow,White Pepper Powder,Butter Amul,POHA,Appam Rice,Eno Regular,American Corn,Capsico Sauce,Fresh Red Chilly,Black Pepper Whole,Toor Dal,Pista,ALMOND,Fresh Milk (tabela),MAIDA,Jaiphal,CORN FLOUR,ROSE WATER,White Vinegar,Ajwain,Malai Kulfi,Mango Slice Kulfi,Papad big,Kabuli Chana,Bread Slice,CELERY LEAVES,CHANA DAL,Cheese Amul,Veg Mayonnaise,Iceberg Lettuce,Fresh Cream,BABY CORN,Cabbage,Dijon Mustard,Pineapple Fruit,Rawas Fish,Sev,Papdi,Mutton Big Raan,COCONUT DRY,Methi Fresh,Pok Choy,Potato Starch,Fresh Mushroom,Honey,Chana Dal,Rajma Chitra,Tomato Puree,Black Urad Whole,RAI,Celery Leaves,Kaju Whole,Medium Prawns,Green Curry Paste,Green Peas,Fresh Beans,Hoisin Sauce,Surmay Fish,MOONG DAL,Curd,APPLE,PAPAYA,8 To 9 Sauce,Kashmiri Chilli Powder,BELL PAPPER YELLOW,Bhavnagri Chilly,Yellow Chilli Powder,Peri Peri Masala,Fresh Basil,Shiitake Mushroom,Crab Meat,Sevai,Wonton Patta,Hing Powder,Shao Hsing Vinegar,Pomfret,Millennium Kulfi,RICE ATTA,Gulab Badam Slice Kulfi,Kesar Pista Kulfi,Kalonji,AMERICAN CORN,Papad Big,Vanilla Md Ice Cream,Baby Potato,Baby corn,Karela,Indian Chives,Squid,Prawns Frozen 70/80,Bread Crumbs Penko,Kikkoman Soya,Bbq Sauce,Black Pepper Powder,Lady Finger,Aalu Bukhara (plum),Chocolate Ice Cream,Imli,Lemon Grass,Tom Yum Cube,Green Corn,Sweet Corn Cream,PINEAPPLE FRUIT,Roasted Almond Slice Kulfi,METHI FRESH,Apple,Bean Sprouts,Green Peppercorn,Baking Powder,Butter Scotch Ice Cream,Tofu,Glass Noodles,Frut Overload Ice Cream,Bombil,Maggi Seasoning Sauce,Kafir Lemon Leaves,Madras Curry Powder,Chinese Cabbage,Moong Dal,Olive Oil,Plum Sauce,Mustard Kasundi 1000gm,Worcestershire Sauce Kalvert (bar),Makai Atta,Black Till,Black Fungus,Black Beans Seed,Sambal Oleal Sauce,Crab Whole Big,Green Olive Slice,Lemon Leaves,maida,sugar,atta,curd,coriander leaves,ghee,bajra,rice atta,jeera powder,cucumber,olive oil,american corn,cherry tomato,risotto rice,ginger,cauliflower,kitchen king,rai,onion,toor dal,moong whole,sev,chat masala,milk,besan,mint leaves,green chilly,garlic powder,iceberg lettuce,potato,mawa,black dal,chana dal,ajwain,green peas,boondi,capsicum,sama rice,kabuli chana,baby corn,mustard oil,lemon,sabudana,coconut milk,garam masala,lapsi,kasuri methi,tomato ketchup,baked beans,baby potato,khichiya papad,almond,amul cream,orange,feta cheese,lady finger,honey,keel patta,white pepper powder,lemon grass,lemon leaves,coconut milk powder,Green Garlic,Wasabi Tube,Bamboo Shoots,AJWAIN
2023-09-24,1567.0,166.0,595.0,20.0,27.0,776.0,5431.0,1284.0,1545.0,3450.0,0.0,50.0,542.0,2100.0,220.0,884.0,100.0,50.0,990.0,1640.0,2844.0,253.0,1882.0,339.0,160.0,248.0,988.0,0.0,0.0,5100.0,668.0,431.0,0.0,1280.0,142.0,20.0,40.0,0.0,0.0,60.0,45.0,95.0,2030.0,3940.0,0.0,0.0,145.0,4.0,1250.0,1450.0,1870.0,18410.0,4.0,2.0,10.0,2.0,504.0,22.0,10.0,5500.0,225.0,24.0,6.0,568.0,124.0,180.0,5760.0,0.0,0.0,0.0,630.0,50.0,570.0,569.0,135.0,360.0,735.0,140.0,735.0,42.0,1160.0,0.0,500.0,0.0,800.0,24.0,267.0,68.0,3000.0,11.0,6.0,2850.0,10.0,2.0,55.0,26.0,25.0,0.0,7.0,0.0,100.0,0.0,807.0,4.0,0.0,545.0,200.0,400.0,50.0,700.0,320.0,0.0,0.0,20.0,0.0,0.0,1740.0,0.0,640.0,125.0,38.0,3030.0,0.0,750.0,750.0,1540.0,2250.0,0.0,40.0,4.0,0.0,0.0,212.0,180.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,4.0,250.0,0.0,0.0,0.0,275.0,60.0,50.0,20.0,90.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,360.0,500.0,0.0,0.0,2.0,10.0,20.0,120.0,30.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,160.0,120.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,240.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,60.0,0.0,0.0,0.0,2.89,0.34900000000000003,2.96,6.7,0.314,3.115,0.7,0.6,0.453,0.302,0.504,0.046,0.16,0.44,0.185,1.666,0.434,0.009000000000000001,1.422,1.65,0.0,0.0,0.156,1.6,0.38,0.004,0.008,0.01,0.8,0.89,0.31,0.1,0.05,0.0,3.122,0.1,0.322,0.0,0.8,0.049,0.36,0.214,0.0,0.0,0.016,0.0,0.08600000000000001,0.0,0.02,0.0,0.042,0.048,0.14,0.0,0.0,0.0,0.0,0.0,0.006,0.42,0.028,0.84,0.0,0.0,0.0,0.0
2023-09-25,581.0,85.0,430.0,40.0,30.0,304.0,2387.0,412.0,494.0,725.0,0.0,50.0,333.0,285.0,210.0,263.0,100.0,50.0,180.0,200.0,921.0,93.0,496.0,96.0,48.0,88.0,244.0,0.0,0.0,1060.0,242.0,131.0,5.0,236.0,14.0,0.0,0.0,0.0,0.0,50.0,15.0,15.0,900.0,1680.0,0.0,0.0,36.0,4.0,400.0,550.0,400.0,6370.0,4.0,0.0,0.0,0.0,113.0,12.0,0.0,800.0,12.0,12.0,0.0,141.0,38.0,45.0,4840.0,0.0,0.0,50.0,80.0,10.0,50.0,150.0,50.0,165.0,230.0,0.0,230.0,8.0,339.0,0.0,200.0,0.0,640.0,6.0,71.0,8.0,0.0,7.0,6.0,715.0,5.0,1.0,52.5,6.5,7.5,0.0,0.0,0.0,30.0,0.0,410.0,8.0,0.0,160.0,50.0,100.0,0.0,200.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,30.0,8.0,330.0,0.0,150.0,150.0,300.0,450.0,0.0,10.0,20.0,0.0,0.0,152.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,40.0,20.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,200.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.234,1.24,1.75,0.08499999999999999,1.215,0.0,0.0,0.11599999999999999,0.6,0.12,0.0,0.03,0.0,0.04,0.32,0.11599999999999999,0.003,0.29200000000000004,0.4,0.0,0.0,0.008,0.0,0.05,0.0,0.0,0.0,0.02,0.04,0.17,0.1,0.05,0.0,0.74,0.0,0.192,0.0,0.4,0.014,0.08,0.12,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.06,0.004,0.12,0.0,0.0,0.0,0.0
2023-09-26,639.0,82.0,580.0,10.0,16.05,407.0,3384.0,721.0,864.0,2150.0,0.0,0.0,405.0,755.0,30.0,456.0,0.0,10.0,1385.0,1050.0,1693.0,153.0,946.0,177.0,86.0,148.0,483.0,0.0,0.0,1990.0,414.0,243.0,5.0,346.0,24.0,10.0,20.0,0.0,0.0,50.0,15.0,20.0,1000.0,2935.0,0.0,0.0,57.0,4.0,480.0,600.0,800.0,9855.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2700.0,28.0,12.0,2.0,247.0,68.0,85.0,4340.0,30.0,15.0,200.0,270.0,30.0,210.0,272.0,100.0,240.0,390.0,60.0,390.0,18.0,642.0,0.0,100.0,0.0,1570.0,14.0,118.0,14.0,600.0,10.0,4.0,420.0,10.0,2.0,165.0,8.0,10.0,0.0,1.0,0.0,60.0,500.0,410.0,8.0,0.0,300.0,0.0,0.0,0.0,500.0,150.0,0.0,0.0,0.0,0.0,0.0,1400.0,50.0,100.0,90.0,24.0,900.0,0.0,300.0,300.0,600.0,900.0,0.0,10.0,60.0,0.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,600.0,0.0,0.0,30.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,15.0,30.0,0.0,2400.0,40.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.72,0.188,1.34,1.57,0.135,1.385,0.35,0.15,0.08499999999999999,0.0,0.08,0.0,0.03,0.22,0.053,0.51,0.08499999999999999,0.015,0.774,0.85,0.0,0.0,0.042,0.0,0.1,0.0,0.0,0.0,0.05,0.08,0.19,0.2,0.1,0.0,0.35000000000000003,0.0,0.144,0.0,0.0,0.014,0.03,0.0,0.0,0.0,0.008,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.12,0.008,0.24,0.0,0.0,0.0,0.0
2023-09-27,957.0,112.0,615.0,0.0,20.0,456.0,4194.0,839.0,1012.0,2300.0,0.0,0.0,316.0,845.0,30.0,560.0,0.0,10.0,625.0,690.0,2259.0,172.0,1428.0,207.0,98.0,172.0,619.0,0.0,180.0,2640.0,474.0,272.0,0.0,876.0,144.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,1050.0,2025.0,0.0,0.0,34.0,6.0,780.0,700.0,1170.0,11145.0,6.0,2.0,6.0,2.0,100.0,10.0,10.0,2700.0,70.0,16.0,0.0,334.0,82.0,150.0,4020.0,10.0,15.0,0.0,210.0,30.0,160.0,394.0,120.0,360.0,375.0,20.0,375.0,23.0,570.0,0.0,300.0,0.0,940.0,18.0,157.0,62.0,600.0,8.0,0.0,1130.0,10.0,2.0,55.0,8.0,65.0,0.0,6.0,1.0,20.0,500.0,1008.0,8.0,0.0,830.0,0.0,0.0,0.0,400.0,190.0,0.0,50.0,0.0,10.0,10.0,0.0,0.0,300.0,80.0,22.0,2210.0,20.0,250.0,250.0,500.0,750.0,0.0,20.0,40.0,0.0,0.0,254.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,160.0,30.0,0.0,40.0,180.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,200.0,0.0,120.0,500.0,0.0,0.0,2.0,0.0,0.0,120.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.0,4.0,0.0,0.0,20.0,10.0,0.0,0.0,4.0,0.0,0.0,60.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.144,1.74,1.93,0.114,1.185,0.7,0.15,0.175,0.6,0.04,0.0,0.0,0.22,0.111,0.736,0.166,0.0,0.07400000000000001,0.15,0.0,0.0,0.092,1.4000000000000001,0.03,0.004,0.008,0.01,0.05,0.09,0.03,0.1,0.052,0.0,0.952,0.0,0.144,0.0,0.0,0.007,0.13,0.0,0.0,0.07,0.014,0.0,0.048,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.12,0.008,0.24,0.0,0.0,0.0,0.0
2023-09-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0,0.0,0.0,100.0,0.0,50.0,8.0,52.0,4.0,4.0,8.0,12.0,0.0,0.0,210.0,20.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,20.0,0.0,50.0,50.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-29,1910.0,132.0,760.0,20.0,46.05,482.0,4240.0,1008.0,1287.0,3225.0,0.0,0.0,693.0,630.0,230.0,608.0,50.0,0.0,570.0,1000.0,2290.0,188.0,1478.0,242.0,118.0,200.0,603.0,2.0,150.0,2074.0,471.0,303.0,0.0,1036.0,95.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,1700.0,1730.0,2.0,0.0,78.0,16.0,1190.0,1280.0,1830.0,9910.0,14.0,2.0,12.0,2.0,106.0,22.0,10.0,3300.0,50.0,12.0,0.0,349.0,110.0,215.0,9440.0,0.0,30.0,0.0,735.0,80.0,605.0,535.0,260.0,410.0,620.0,180.0,620.0,40.0,651.0,0.0,200.0,0.0,2570.0,30.0,205.0,73.0,600.0,25.0,10.0,2975.0,25.0,5.0,162.5,23.5,37.5,0.0,8.0,0.0,30.0,0.0,625.0,20.0,0.0,505.0,0.0,0.0,0.0,200.0,470.0,0.0,50.0,0.0,0.0,0.0,1200.0,50.0,500.0,190.0,22.0,830.0,25.0,200.0,200.0,440.0,600.0,0.0,50.0,24.0,0.0,0.0,202.0,50.0,0.0,500.0,43.0,0.0,0.0,0.0,0.0,2.0,150.0,100.0,0.0,0.0,145.0,60.0,0.0,20.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1000.0,0.0,0.0,2.0,0.0,0.0,300.0,45.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,40.0,20.0,0.0,500.0,4.0,0.0,0.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,90.0,0.0,0.0,0.0,1.76,0.148,1.46,4.93,0.255,1.6700000000000002,0.0,0.3,0.283,0.302,0.624,0.086,0.1,0.22,0.196,0.791,0.236,0.015,1.442,1.3,0.0,0.1,0.156,1.6,0.1,0.0,0.004,0.0,0.72,0.43,0.11,0.2,0.1,0.0,1.147,0.0,0.362,0.0,1.2000000000000002,0.021,0.22999999999999998,0.18,0.0,0.07,0.016,0.4,0.10200000000000001,0.01,0.06,0.5,0.024,0.036000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.024,0.24,0.016,0.48,0.0,0.0,0.0,0.0
2023-09-30,835.0,119.0,785.0,10.0,29.0,650.0,5391.0,1165.0,1346.0,3150.0,0.0,50.0,930.0,1230.0,320.0,737.0,350.0,210.0,1260.0,1320.0,2342.0,224.0,1376.0,255.0,124.0,224.0,843.0,0.0,0.0,3520.0,536.0,349.0,0.0,944.0,67.0,0.0,0.0,0.0,0.0,0.0,27.0,65.0,1100.0,2120.0,12.0,0.0,96.0,4.0,1050.0,1050.0,1270.0,12220.0,2.0,0.0,8.0,0.0,4.0,10.0,0.0,4100.0,122.0,8.0,2.0,427.0,108.0,260.0,6940.0,0.0,0.0,50.0,485.0,80.0,325.0,600.0,240.0,385.0,530.0,40.0,530.0,32.0,952.0,0.0,600.0,5.0,1320.0,18.0,232.0,87.0,1950.0,3.0,6.0,860.0,0.0,0.0,50.0,11.0,5.0,5.0,1.0,0.0,170.0,500.0,407.0,4.0,0.0,515.0,50.0,100.0,100.0,500.0,190.0,0.0,0.0,0.0,0.0,0.0,4020.0,100.0,840.0,190.0,36.0,2070.0,15.0,500.0,500.0,1040.0,1500.0,0.0,30.0,24.0,0.0,0.0,162.0,170.0,0.0,0.0,43.0,10.0,0.0,0.0,0.0,2.0,100.0,200.0,0.0,0.0,85.0,65.0,40.0,40.0,180.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,200.0,0.0,240.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,15.0,0.0,0.0,1200.0,80.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,20.0,0.0,50.0,4.0,1.0,0.0,80.0,20.0,0.0,500.0,2.0,0.0,2.0,150.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.20800000000000002,1.6600000000000001,3.61,0.349,2.75,0.35,0.0,0.197,0.3,0.524,0.086,0.1,0.22,0.098,0.78,0.197,0.024,1.1300000000000001,1.25,0.0,0.2,0.132,1.2000000000000002,0.23,0.004,0.004,0.01,0.6900000000000001,0.305,0.1,0.2,0.1,0.0,1.55,0.0,0.4,0.0,1.6,0.042,0.1,0.244,0.2,0.07,0.002,0.0,0.056,0.02,0.04,0.0,0.042,0.036000000000000004,0.1,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.3,0.02,0.6,0.0,0.0,0.0,0.0
2023-10-01,1569.0,152.0,1280.0,0.0,30.0,1009.0,8703.0,1679.0,2225.0,3800.0,0.0,0.0,474.0,1315.0,210.0,1100.0,150.0,0.0,870.0,940.0,3340.0,364.0,2546.0,440.0,200.0,348.0,1202.0,0.0,180.0,5790.0,870.0,529.0,15.0,1610.0,246.0,20.0,40.0,102.0,1.5,150.25,80.0,185.0,3450.0,3000.0,0.0,0.0,15.0,12.0,1260.0,1140.0,1700.0,17750.0,10.0,4.0,18.0,6.0,668.0,34.0,30.0,5100.0,229.0,44.0,14.0,526.0,156.0,385.0,12460.0,20.0,120.0,100.0,830.0,120.0,460.0,875.0,380.0,440.0,800.0,40.0,800.0,48.0,1329.0,0.0,900.0,15.0,3500.0,34.0,290.0,180.0,3000.0,7.0,6.0,1575.0,5.0,1.0,12.5,19.5,12.5,10.0,7.0,0.0,120.0,500.0,412.0,12.0,0.0,320.0,50.0,100.0,0.0,600.0,770.0,0.0,0.0,0.0,20.0,20.0,3120.0,50.0,710.0,330.0,58.0,1875.0,0.0,850.0,850.0,1700.0,2550.0,0.0,30.0,80.0,0.0,0.0,102.0,50.0,20.0,1000.0,0.0,0.0,100.0,80.0,0.0,0.0,500.0,200.0,600.0,80.0,127.0,135.0,80.0,20.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,1800.0,6.0,0.0,60.0,40.0,75.0,0.0,0.0,0.0,0.0,120.0,10.0,22.0,10.0,0.0,0.0,20.0,0.0,40.0,0.0,90.0,4.0,3.0,120.0,60.0,30.0,120.0,1900.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,3.34,0.394,2.64,8.99,0.486,4.875,0.0,0.8999999999999999,0.765,0.9099999999999999,0.5640000000000001,0.046,0.13,0.22,0.075,0.9,0.614,0.04,2.708,3.5,0.0,0.2,0.28600000000000003,2.81,0.12,0.016,0.016,0.04,0.7999999999999999,0.13,0.41000000000000003,0.30000000000000004,0.15000000000000002,0.16,2.48,0.0,0.618,0.0,1.35,0.049,0.57,0.24,0.2,0.07,0.023,0.0,0.16,0.02,0.02,0.5,0.07200000000000001,0.084,0.14,0.0,0.0,0.0,0.0,0.0,0.012,0.24,0.016,0.48,0.0,0.0,0.0,0.0
2023-10-02,414.0,93.0,385.0,10.0,16.0,473.0,3633.0,783.0,1052.0,2000.0,0.0,0.0,172.0,500.0,80.0,563.0,50.0,0.0,560.0,630.0,2094.0,184.0,1266.0,209.0,102.0,184.0,489.0,0.0,0.0,3410.0,477.0,212.0,0.0,654.0,77.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,2300.0,805.0,0.0,0.0,125.0,4.0,750.0,600.0,1080.0,9020.0,4.0,2.0,2.0,2.0,60.0,10.0,10.0,2000.0,5.0,8.0,4.0,398.0,96.0,215.0,4160.0,0.0,0.0,0.0,265.0,50.0,155.0,362.0,150.0,410.0,555.0,40.0,555.0,33.0,696.0,0.0,0.0,0.0,930.0,16.0,167.0,30.0,1200.0,0.0,0.0,430.0,0.0,0.0,50.0,7.0,52.5,0.0,2.0,0.0,50.0,1000.0,1404.0,4.0,0.0,230.0,50.0,100.0,0.0,300.0,20.0,0.0,0.0,500.0,0.0,0.0,1100.0,0.0,300.0,120.0,38.0,1470.0,10.0,450.0,450.0,940.0,1350.0,1.0,10.0,44.0,100.0,0.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,90.0,15.0,80.0,20.0,90.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,6.0,400.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,30.0,0.0,600.0,40.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,100.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.83,0.258,0.9600000000000001,2.88,0.23399999999999999,2.42,0.35,0.0,0.161,0.0,0.08,0.0,0.0,0.0,0.065,0.85,0.125,0.014,1.072,1.55,0.0,0.0,0.046,1.6,0.33,0.004,0.004,0.01,0.4,0.295,0.0,0.0,0.0,0.0,0.9400000000000001,0.0,0.17200000000000001,0.0,0.15,0.028,0.06,0.0,0.0,0.0,0.004,0.0,0.028,0.0,0.06,0.0,0.018000000000000002,0.048,0.0,0.4,0.02,0.0,0.0,0.0,0.006,0.12,0.008,0.24,0.0,0.0,0.0,0.0
2023-10-03,580.0,90.0,480.0,10.0,9.0,233.0,2230.0,554.0,711.0,1400.0,0.0,0.0,326.0,715.0,0.0,385.0,0.0,10.0,570.0,500.0,1516.0,112.0,658.0,138.0,60.0,112.0,519.0,0.0,0.0,1430.0,342.0,168.0,0.0,626.0,65.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,1200.0,1560.0,0.0,0.0,56.0,0.0,540.0,700.0,1000.0,8000.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1400.0,59.0,12.0,0.0,281.0,66.0,25.0,3440.0,30.0,15.0,100.0,1080.0,0.0,180.0,435.0,50.0,70.0,280.0,0.0,280.0,27.0,370.0,0.0,300.0,0.0,1630.0,24.0,140.0,14.0,1200.0,4.0,0.0,995.0,5.0,1.0,2.5,9.5,10.0,0.0,3.0,0.0,60.0,500.0,1000.0,0.0,0.0,100.0,0.0,0.0,0.0,400.0,330.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,300.0,0.0,20.0,1310.0,0.0,100.0,100.0,200.0,300.0,0.0,0.0,0.0,0.0,0.0,252.0,50.0,20.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,600.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.01,0.54,0.65,0.145,1.075,0.35,0.0,0.046,0.002,0.0,0.0,0.0,0.44,0.035,0.321,0.046,0.015,1.291,1.55,0.0,0.0,0.022,0.0,0.0,0.0,0.004,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.467,0.0,0.086,0.0,0.0,0.007,0.01,0.004,0.0,0.0,0.002,0.2,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.008,0.24,0.0,0.0,0.0,0.0
